,CSSCI来源期刊(2000-2002)学科分类,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,马克思主义,哲学,管理学,人文、经济地理
1,外国文学,艺术学,中国文学,环境科学
2,政治学(含:国际问题,法台学港澳问题),经济学,体育学
3,图书馆、情报与文献学,教育学,新闻学与传播学,统计学
4,社科总论,高校综合性社科学报,心理学,社会学
5,语言学,考古学,民族学,历史学
6,宗教学,港台澳地区及海外,,
7,管理学(22种),,,
8,管理世界,科研管理,科学学研究,科学管理研究
9,中国科技论坛,未来与发展,经济体制改革,中国软科学
10,预测,管理工程学报,外国经济与管理,中外管理
11,经济管理,管理信息系统,研究与发展管理,中国行政管理
12,科学学与科学技术管理,管理现代化,中国管理科学,-企业管理
13,管理科学学报,国有资产管理,,
14,马克思主义 (11种),,,
15,当代世界与社会主义,社会主义研究,毛泽东邓小平理论研究,国外理论动态
16,教学与研究,科学社会主义,马克思主义研究,毛泽东思想研究
17,马克思主义与现实,高校理论战线,当代思潮,
18,哲 学(10种),,,
19,哲学研究,哲学动态,中国哲学史,现代哲学
20,自然辩证法研究,科学技术与辩证法,道德与文明,周易研究
21,自然辩证法通讯,孔子研究,,
22,宗教学(5种),,,
23,世界宗教研究,宗教学研究,当代宗教研究,世界宗教文化
24,中国宗教,,,
25,语言学(16种),,,
26,外语教学与研究,语言教学与研究,语言研究,方言
27,当代语言学(国外语言学),中国语文,民族语文,外语学刊
28,现代外语,中国翻译,语言文字应用,语文建设
29,外国语:上海外国语大学学报,世界汉语教学,语文研究,古汉语研究
30,中国文学 (13种),,,
31,文学评论,文学遗产,新文学史料,文艺理论研究
32,文艺争鸣,当代作家评论,红楼梦学刊,民族文学研究
33,中国比较文学,中国现代文学研究丛刊,鲁迅研究月刊,明清小说研究
34,文学自由谈,,,
35,外国文学(4种),,,
36,外国文学评论,国外文学,外国文学,当代外国文学
37,艺术学(15种),,,
38,戏剧艺术:上海戏剧学院学报,中国音乐学,电影艺术,世界美术
39,音乐艺术:上海音乐学院学报,当代电影,北京电影学院学报,中国书法
40,新美术:中国美术学院学报,音乐研究,中国音乐,戏剧:中央戏剧学院学报
41,中央音乐学院学报,文艺研究,世界电影,
42,历史学(21种),,,
43,抗日战争研究,清史研究,历史档案,华侨华人历史研究
44,历史研究,史学理论研究,史学集刊,民国档案
45,中国史研究,世界历史,西域研究,中国史研究动态
46,近代史研究,史学月刊,史林,史学史研究
47,当代中国史研究,自然科学史研究,中国边疆史地研究,中国地方志
48,中国历史地理论丛,,,
49,考古学(6种),,,
50,考古学报,考古,敦煌研究,华夏考古
51,文物,考古与文物,,
52,经济学(70种),,,
53,经济研究,中国农村经济,当代经济研究(中国“资本论”研究会会刊),宏观经济研究
54,改革,金融研究,中国经济问题,当代经济科学
55,会计研究,世界经济,中国土地科学,当代财经
56,经济社会体制比较,中国农村观察,中国社会经济史研究,经济评论
57,中国工业经济,财贸经济,中国经济史研究,投资研究
58,国际经济评论,财政研究,国际金融研究,国际经济合作
59,经济学家,经济理论与经济管理,世界经济与政治,对外经贸实务
60,经济学动态,世界经济研究,南开经济研究,国际商务研究(上海对外贸易学院学报)
61,经济科学,数量经济技术经济研究,国际贸易,经济问题探索
62,农业经济问题,财经研究,消费经济,审计研究
63,国际贸易问题,财经科学,财经问题研究,生态经济
64,经济问题,农业技术经济,经济纵横,现代日本经济
65,税务研究,上海金融,世界经济文汇,中央财经大学学报
66,上海经济研究,中国物价,中国技术经济科学,经济与信息(2000年改名为:财经界)
67,城市发展研究,保险研究,经济与管理研究,中国投资与建设(改名:中国投资)
68,中南财经大学学报,中国流通经济,中国国情国力,港澳经济(2000改名为:新经济)
69,亚太经济,中国资产评估,生产力研究,金融科学
70,林业经济,国际经贸研究(现改名:南开管理评论),,
71,政治学(含:国际问题、台港澳问题),,,
72,美国研究,中共党史研究,台湾研究集刊,中共中央党校学报
73,欧洲,现代国际关系,妇女研究论丛,理论学刊
74,政治学研究,日本学刊,理论前沿,东南亚研究
75,求是,党的文献,新视野,今日东欧中亚(2000年第5期起改名为:俄罗斯研究)
76,青年研究,当代亚太,理论探讨,中国青年政治学院学报
77,国际问题研究,中国青年研究,和平与发展,理论与改革
78,东欧中亚研究,西亚非洲,东北亚论坛,长白学刊
79,拉丁美洲研究,台湾研究,外交学院学报,南亚研究
80,法学 (17种),,,
81,法学研究,法学评论,行政法学研究,现代法学
82,中国法学,法学,著作权,知识产权
83,法律科学:西北政法学院学报,法学家,政法论坛:中国政法大学学报,南京大学法律评论
84,中外法学,比较法研究,法制与社会发展,政治与法律
85,法商研究:中南财经政法大学学报(法学版),,,
86,社会学 (8种),,,
87,社会学研究,人口研究,中国人口·资源与环境,人口学刊
88,中国人口科学,人口与经济,市场与人口分析,南方人口
89,民族学 (11种),,,
90,民族研究,黑龙江民族丛刊,中国藏学,云南民族学院学报(哲社版)
91,世界民族,广西民族研究,回族研究,广西民族学院学报(哲社版)
92,中央民族大学学报(人文社科版),贵州民族研究,中南民族学院学报(人文社科版),
93,图书馆、情报与文献学(18种),,,
94,中国图书馆学报,情报理论与实践,中国科技期刊研究,情报科学
95,情报学报,图书情报知识,图书与情报,档案学通讯
96,现代图书情报技术,图书馆杂志,图书馆论坛,档案学研究
97,大学图书馆学报,图书馆理论与实践,图书馆工作与研究,情报杂志
98,图书情报工作,情报资料工作(中国社会科学信息学会会刊),,
99,教育学(29种),,,
100,高等教育研究,比较教育研究,教育科学,中国电化教育
101,教育研究,清华大学教育研究,江苏高教,上海教育科研
102,华东师范大学学报(教科版),教育理论与实践,中国高等教育,中国特殊教育
103,学位与研究生教育,课程·教材·教法,中国大学教学,学前教育研究
104,教育发展研究,高等师范教育研究,中国高教研究,高等工程教育研究
105,教育研究与实验,中国教育学刊,电化教育研究,外国教育研究
106,教育与经济,外国中小学教育,高等理科教育,教育评论
107,外国教育资料(2001年改名:全球教育展望),,,
108,体育学 (7种),,,
109,体育科学,上海体育学院学报,武汉体育学院学报,天津体育学院学报
110,北京体育大学学报,成都体育学院学报,体育与科学,
111,统计学(3种),,,
112,统计研究,数理统计与管理,中国统计,
113,心理学(7种),,,
114,心理学报,心理发展与教育,中国心理卫生杂志,心理学探新
115,心理科学,应用心理学,心理学动态,
116,社科总论(30种),,,
117,中国社会科学,国外社会科学,学术研究,社会科学
118,战略与管理,学习与探索,中州学刊,江汉论坛
119,天津社会科学,江苏社会科学,西藏研究,中国文化研究
120,读书,社会科学战线,云南社会科学,浙江学刊
121,学术月刊,北京社会科学,南京社会科学,探索与争鸣
122,中国社会科学院研究生院学报,社会科学研究,浙江社会科学,求索
123,文史哲,江海学刊,上海社会科学院学术季刊,社会科学辑刊
124,百年潮,人文杂志,,
125,高校综合性社科学报(35种),,,
126,北京大学学报(哲社版),南京师大学报(社科版),中山大学学报(社科版),兰州大学学报(社科版)
