,CSSCI来源期刊(2003)学科分类,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,管理学,马克思主义,哲学,宗教学
1,中国文学,外国文学,艺术学,历史学
2,经济学,政治学(含:国际问题、台,法澳学问题),社会学
3,新闻学与传播学,图书馆、情报与文献学,教育学,体育学
4,心理学,社科总论,高校综合性社科学报,人文、经济地理
5,语言学,考古学,民族学,人文、经济地理
6,统计学,环境科学,,
7,管理学(22种),,,
8,管理世界,科研管理,科学学研究,科学管理研究
9,中国科技论坛,未来与发展,经济体制改革,中国软科学
10,预测,管理工程学报,外国经济与管理,南开管理评论
11,经济管理,战略与管理,研究与发展管理,中国行政管理
12,科学学与科学技术管理,管理现代化,中国管理科学,科技进步与对策
13,管理科学学报,科技管理研究,,
14,,,,
15,马克思主义 (11种),,,
16,当代世界与社会主义,社会主义研究,毛泽东邓小平理论研,国外理论动态
17,教学与研究,科学社会主义,马究克思主义研究,毛泽东思想研究
18,马克思主义与现实,高校理论战线,当代思潮,
19,,,,
20,哲 学(10种),,,
21,哲学研究,哲学动态,中国哲学史,现代哲学
22,自然辩证法研究,科学技术与辩证法,道德与文明,周易研究
23,自然辩证法通讯,孔子研究,,
24,,,,
25,宗教学(5种),,,
26,世界宗教研究,宗教学研究,中国道教,世界宗教文化
27,中国宗教,,,
28,,,,
29,语言学(16种),,,
30,外语教学与研究,语言教学与研究,语言研究,方言
31,当代语言学(原名:国外语,中国语文,民族语文,外语学刊
32,言现学代)外语,中国翻译,语言文字应用,语文建设
33,外国语:上海外国语大学,世界汉语教学,语文研究,古汉语研究
34,学报,,,
35,中国文学 (13种),,,
36,文学评论,文学遗产,新文学史料,文艺理论研究
37,文艺争鸣,当代作家评论,红楼梦学刊,民族文学研究
38,中国比较文学,中国现代文学研究丛刊,鲁迅研究月刊,明清小说研究
39,文学自由谈,,,
40,,,,
41,外国文学(4种),,,
42,外国文学评论,国外文学,外国文学,当代外国文学
43,,,,
44,艺术学(15种),,,
45,戏剧艺术:上海戏剧学院,中国音乐学,电影艺术,电视研究
46,学音报乐艺术:上海音乐学院,当代电影,北京电影学院学报,中国书法
47,学新报美术:中国美术学院学,音乐研究,中国音乐,戏剧:中央戏剧学院
48,报中央音乐学院学报,文艺研究,书法研究,学报
49,,,,
50,历史学(21种),,,
51,抗日战争研究,清史研究,历史档案,华侨华人历史研究
52,历史研究,史学理论研究,史学集刊,民国档案
53,中国史研究,世界历史,西域研究,中国史研究动态
54,近代史研究,史学月刊,史林,史学史研究
55,当代中国史研究,自然科学史研究,中国边疆史地研究,中国地方志
56,中国历史地理论丛,,,
57,,,,
58,考古学(6种),,,
59,考古学报,考古,敦煌研究,华夏考古
60,文物,考古与文物,,
61,,,,
62,经济学(70种),,,
63,经济研究,中国农村经济,当代经济研究(中国,宏观经济研究
64,改革,金融研究,中“国资本经论济问”研题究会会,当代经济科学
65,会计研究,世界经济,中国土地科学,当代财经
66,经济社会体制比较,中国农村观察,中国社会经济史研究,经济评论
67,中国工业经济,财贸经济,中国经济史研究,投资研究
68,国际经济评论,财政研究,国际金融研究,国际经济合作
69,经济学家,经济理论与经济管理,涉外税务,金融论坛
70,经济学动态,世界经济研究,南开经济研究,国际商务研究(上海
71,经济科学,数量经济技术经济研究,国际贸易,经对济外问贸易题学探索院学报)
72,农业经济问题,财经研究,消费经济,审计研究
73,国际贸易问题,财经科学,财经问题研究,生态经济
74,经济问题,农业技术经济,经济纵横,现代日本经济
75,税务研究,上海金融,世界经济文汇,中央财经大学学报
76,上海经济研究,国际经贸探索,税务与经济,财经论丛
77,城市发展研究,保险研究,经济与管理研究,中国投资(原名:中
78,中南财经政法大学学报,中国流通经济,中国国情国力,现国代投财资经与:建天设津)财经学
79,亚太经济,中国资产评估,生产力研究,开院学发报研究
80,林业经济,财经理论与实践,,
81,,,,
82,政治学(含:国际问题、台港澳问题)(33种),,,
83,美国研究,中共党史研究,台湾研究集刊,中共中央党校学报
84,欧洲研究(原名: 欧洲),现代国际关系,妇女研究论丛,理论学刊
85,政治学研究,日本学刊,理论前沿,东南亚研究
86,求是,党的文献,新视野,俄罗斯研究(原名:
87,青年研究,当代亚太,理论探讨,中今日国东青年欧政中治亚)学院学
88,国际问题研究,中国青年研究,和平与发展,报理论与改革
89,俄罗斯中亚东欧研究(原,西亚非洲,东北亚论坛,长白学刊
90,拉名:丁东美欧洲中研亚究研究),台湾研究,外交学院学报,南亚研究
91,世界经济与政治,,,
92,,,,
93,法学 (16种),,,
94,法学研究,法学评论,行政法学研究,现代法学
95,中国法学,法学,中国版权(原名:著,知识产权
96,法律科学:西北政法学院,法学家,政作权法论)坛:中国政法,法商研究
97,学中报外法学,比较法研究,大法学制学与报社会发展,政治与法律
98,,,,
99,社会学 (8种),,,
100,社会学研究,人口研究,中国人口·资源与环,人口学刊
101,中国人口科学,人口与经济,市境场与人口分析,南方人口
102,,,,
103,民族学 (11种),,,
104,民族研究,黑龙江民族丛刊,中国藏学,云南民族大学学报
105,世界民族,广西民族研究,回族研究,(广哲西民社版族)学院学报
106,中央民族大学学报(哲社,贵州民族研究,中南民族大学学报,(哲社版)
107,版)(人文社科版),,,
108,新闻学与传播学(13种),,,
109,编辑学报,国际新闻界,新闻记者,中国广播电视学刊
110,新闻与传播研究,新闻大学,新闻界,科技与出版
111,现代传播:北京广播学院,编辑学刊,中国出版,中国图书评论
112,编学报辑之友,,,
113,,,,
114,图书馆、情报与文献学(18种),,,
115,中国图书馆学报,情报理论与实践,中国科技期刊研究,情报科学
116,情报学报,图书情报知识,图书与情报,档案学通讯
117,现代图书情报技术,图书馆杂志,图书馆论坛,档案学研究
118,大学图书馆学报,图书馆理论与实践,图书馆工作与研究,情报杂志
119,图书情报工作,情报资料工作(中国社会科,,
120,学信息学会会刊),,,
121,教育学(29种),,,
122,高等教育研究,比较教育研究,教育科学,中国电化教育
123,教育研究,清华大学教育研究,江苏高教,上海教育科研
124,华东师范大学学报(教科,教育理论与实践,中国高等教育,中国特殊教育
125,学版)位与研究生教育,课程·教材·教法,中国大学教学,学前教育研究
126,教育发展研究,高等师范教育研究(2003年,教育信息化(原名:管,高等工程教育研究
127,教育研究与实验,1中2月国改教名育:学教刊师教育研究 ),电理信化教息系育研统)究,外国教育研究
128,教育与经济,外国中小学教育,高等理科教育,教育评论
129,全球教育展望(原名:外国,,,
130,教育资料),,,
131,体育学 (7种),,,
132,体育科学,上海体育学院学报,武汉体育学院学报,天津体育学院学报
133,北京体育大学学报,成都体育学院学报,体育与科学,
134,,,,
135,统计学(3种),,,
136,统计研究,数理统计与管理,中国统计,
137,,,,
138,心理学(7种),,,
139,心理学报,心理发展与教育,中国心理卫生杂志,心理学探新
140,心理科学,应用心理学,心理科学进展(原,
141,名:心理学动态),,,
142,社科总论(29种),,,
143,中国社会科学,国外社会科学,学术研究,社会科学
144,科学·经济·社会,学习与探索,中州学刊,江汉论坛
145,天津社会科学,江苏社会科学,西藏研究,中国文化研究
146,读书,社会科学战线,云南社会科学,浙江学刊
147,学术月刊,北京社会科学,南京社会科学,人文杂志
148,中国社会科学院研究生院,社会科学研究,浙江社会科学,求索
149,文学史报哲,江海学刊,江淮论坛,社会科学辑刊
150,百年潮,,,
151,,,,
152,高校综合性社科学报(35种),,,
153,北京大学学报(哲社版),南京师大学报(社科版),中山大学学报(社科,兰州大学学报(社科
154,北京师范大学学报(人文,思想战线:云南大学人文社,四川大学学报(哲社,陕西师范大学学报
155,武社科汉大版学)学报(人文科学,厦会门科大学学报学报(哲社版),版暨)南学报(哲社版),(河哲北社大版学学)报(哲社
156,版吉)林[大继学承社:会武科汉学大学学报学报,西北大学学报(哲社版),华南师范大学学报,版山西)大学学报(哲社
157,中国人民大学学报,浙江大学学报(人文社科,东(社北科师版大学)报(哲社,上版海)大学学报(社科
158,南京大学学报(哲学、人,华版东)师范大学学报(哲社,西版)南师范大学学报,版新疆)大学学报(社科
159,文复旦、学社科报版(社)科版),内版)蒙古大学学报(人文社科,清(华人大文学社学科版报()哲社,版郑州)大学学报(哲社
160,华中师范大学学报(人文,安版徽)大学学报(哲社版),版天津)师范大学学报,湖版北)大学学报(哲社
161,南社科开版学)报(哲社版),求是学刊,齐(社鲁学科刊版),版)
162,,,,
163,人文、经济地理 (7种),,,
164,旅游学刊,城市规划,地理与地理信息科学,地域研究与开发
165,城市规划汇刊,经济地理,人(文原名地理:地理学与国,
166,,,,
167,环境科学(9种),,,
168,自然资源学报,环境保护,长江流域资源与环境,城市环境与城市生态
169,中国环境科学,干旱区资源与环境,农村生态环境,资源科学
170,上海环境科学(2004年停,,,
