,管理学,马克思主义,哲学,宗教学,语言学
0,中国文学,外国文学,艺术学,历史学,考古学
1,经济学,政治学(含:国际问题、台港澳,法学,社会学,民族学
2,,问题),,,
3,新闻学与传播学,图书馆、情报与文献学,教育学,体育学,统计学
4,心理学,综合性社科期刊,高校综合性社科学报,人文、经济地理,环境科学
5,管理世界,科研管理,科学学研究,科学管理研究,软科学
6,中国科技论坛,未来与发展,经济体制改革,中国软科学,管理科学
7,预测,管理工程学报,外国经济与管理,南开管理评论,宏观经济管理
8,经济管理,战略与管理,研究与发展管理,中国行政管理,商业经济与管理
9,科学学与科学技术管理,管理现代化,中国管理科学,科技进步与对策,科技管理研究
10,管理科学学报,,,,
11,当代世界与社会主义,社会主义研究,毛泽东邓小平理论研究,国外理论动态,中国特色社会主义研
12,,,,,究
13,教学与研究,科学社会主义,马克思主义研究,毛泽东思想研究,当代世界社会主义问
14,,,,,题
15,马克思主义与现实,高校理论战线,当代思潮,,
16,哲学研究,哲学动态,中国哲学史,现代哲学,管子学刊
17,自然辩证法研究,科学技术与辩证法,道德与文明,周易研究,孔子研究
18,自然辩证法通讯,,,,
19,世界宗教研究,宗教学研究,中国宗教,世界宗教文化,
20,外语教学与研究,语言教学与研究,语言研究,方言,国外外语教学
21,当代语言学,中国语文,民族语文,外语学刊,中国俄语教学
22,现代外语,中国翻译,语言文字应用,语文建设,外语界
23,外国语:上海外国语大学学报,世界汉语教学,语文研究,古汉语研究,
24,文学评论,文学遗产,新文学史料,文艺理论研究,南方文坛
25,文艺争鸣,当代作家评论,红楼梦学刊,民族文学研究,当代文坛
26,中国比较文学,中国现代文学研究丛刊,鲁迅研究月刊,明清小说研究,东方文化(2004年停刊)
27,外国文学评论,国外文学,外国文学,当代外国文学,俄罗斯文艺
28,外国文学研究,,,,
29,戏剧艺术,中国音乐学,电影艺术,电视研究,黄钟:中国·武汉音乐学院学报
30,音乐艺术:上海音乐学院学报,当代电影,北京电影学院学报,中国书法,人民音乐
31,新美术:中国美术学院学报,音乐研究,中国音乐,戏剧:中央戏剧学院学报,书法研究
32,中央音乐学院学报,文艺研究,,,
33,抗日战争研究,清史研究,历史档案,华侨华人历史研究,历史教学问题
34,历史研究,史学理论研究,史学集刊,民国档案,文史知识
35,中国史研究,世界历史,西域研究,中国史研究动态,历史教学
36,近代史研究,史学月刊,史林,史学史研究,文献
37,当代中国史研究,中国历史地理论丛,中国边疆史地研究,中国地方志,安徽史学
38,敦煌学辑刊,,,,
39,考古学报,考古,敦煌研究,华夏考古,江汉考古
40,文物,考古与文物,,,
41,经济研究,中国农村经济,当代经济研究,宏观经济研究,绿色中国:B(理论版)
42,改革,金融研究,中国经济问题,当代经济科学,开发研究
43,会计研究,世界经济,中国土地科学,当代财经,生产力研究
44,经济社会体制比较,中国农村观察,中国社会经济史研究,经济评论,中国资产评估
45,中国工业经济,财贸经济,中国经济史研究,投资研究,亚太经济
46,国际经济评论,财政研究,国际金融研究,国际经济合作,现代财经:天津财经学院学报
47,经济学家,经济理论与经济管理,涉外税务,金融论坛,中国国情国力
48,经济学动态,世界经济研究,南开经济研究,中国农史,中国流通经济
49,经济科学,数量经济技术经济研究,国际贸易,经济导刊,中南财经政法大学学报
50,农业经济问题,财经研究,消费经济,审计研究,财经理论与实践
51,国际贸易问题,财经科学,财经问题研究,生态经济,经济与管理研究
52,经济问题,农业技术经济,经济纵横,现代日本经济,保险研究
53,税务研究,上海金融,世界经济文汇,中央财经大学学报,城市发展研究
54,上海经济研究,国际经贸探索,税务与经济,财经论丛,
55,美国研究,中共党史研究,台湾研究集刊,中共中央党校学报,世界经济与政治
56,欧洲研究,现代国际关系,妇女研究论丛,太平洋学报,北京行政学院学报
57,政治学研究,日本学刊,理论前沿,东南亚研究,国家行政学院学报
58,求是,党的文献,新视野,俄罗斯研究,国际论坛
59,青年研究,当代亚太,理论探讨,中国青年政治学院学报,南亚研究
60,国际问题研究,中国青年研究,和平与发展,南洋问题研究,外交学院学报
61,俄罗斯中亚东欧研究,西亚非洲,东北亚论坛,国际政治研究,台湾研究
62,拉丁美洲研究,,,,
63,法学研究,法学评论,行政法学研究,现代法学,电子知识产权
64,中国法学,法学,中国版权,知识产权,甘肃政法学院学报
65,法律科学:西北政法学院学报,法学家,政法论坛:中国政法大学学报,法商研究,河北法学
66,中外法学,比较法研究,法制与社会发展,政治与法律,中国刑事法杂志
67,华东政法学院学报,,,,
68,社会学研究,人口研究,中国人口·资源与环境,人口学刊,南方人口
69,中国人口科学,人口与经济,市场与人口分析,,
70,民族研究,黑龙江民族丛刊,中国藏学,云南民族大学学报(哲社版),西北民族研究
