
管理学(26种)
序号,期刊名称,期刊信息
1,管理世界,"北京市海淀区大钟寺8号3层(100098)(010)62112235  62111169"
2,科研管理,"北京市海淀区中关村东路55号8712信箱(100080)(010)62555521"
3,管理科学学报,"天津南开区卫津路92号天津大学(300072)(022)27403197"
4,外国经济与管理,"上海市武东路321号乙(200434)(021)65904367"
5,中国软科学,"北京市西城区三里河路54号270室(100045)(010)68598270   68598286"
6,科学学研究,"北京中关村东路55号8712信箱(100080)(010)62622031"
7,南开管理评论,"天津市南开区卫津路94号南开大学商学院(300071)(022)23505995"
8,中国管理科学,"北京海淀区中关村东路55号,北京8712信箱(100080)(010)62542629"
9,管理工程学报,"杭州市古墩路浙江大学紫金港校区(310058)(0571)88206832"
10,预测,"合肥工业大学290信箱(230009)(0551)2901500"
11,中国科技论坛,"北京海淀区玉渊潭南路8号,北京3814信箱(100038)(010)58884593  58884595"
12,经济管理,"北京月坛北小街2号(100836)(010)68019057  68039094  68768091"
13,研究与发展管理,"上海市邯郸路220号复旦大学(管理学院内)(200433)(021)65643679"
14,科学管理研究,"呼和浩特市新城西街47号汇通饭店415室(010010)(0471) 5883717"
16,管理现代化,"北京市朝阳区安华西里一区13号楼,求实饭店212#(100011)(010)64249510  64263335-3212"
17,经济体制改革,"四川省成都市青羊宫省社科院(610072)(028)87016562"
18,中国行政管理,"北京西安门大街22号,中南海1745信箱(100017)(010)83083324  63099125"
19,商业经济与管理,"杭州市下沙高教园区学正街18号(310018)(0571)28877503  28877505  28877502"
20,软科学,"成都市人民南路4段11号5楼(610041)(028)85221835"
21,科技管理研究,"广州市连新路171号,广东国际科技中心307室(510033)(020)83568469"
22,管理科学,"哈尔滨市南岗区法院街13号(150001)(0451)86414056"
23,中国人力资源开发,"北京市西城区百万庄子区38号(100037)(010) 88363164  88364504-3163"
24,未来与发展,"北京海淀学院南路86号(100081)(010)62103296"
25,科技进步与对策,"武汉市洪山路2号湖北科教大厦D座5楼(430071)(027)87277556  87277066"
26,宏观经济管理,"北京市西城区三里河国家发展改革委(100824)(010)68391537  68539228"
马克思主义(12种)
序号,期刊名称,期刊信息
1,马克思主义与现实,"北京市西城区西斜街36号(100032)(010) 66509601"
2,当代世界与社会主义,"北京西单西斜街36号(100032)(010)66509501"
3,教学与研究,"北京市海淀区中关村大街59号(100872)(010)62511680"
4,国外理论动态,"北京市西城区西斜街36号(100032)(010)66509302"
5,马克思主义研究,"北京市建国门内大街5号(100732)(010)85196310"
6,当代世界社会主义问题,"中国济南洪家楼5号(250100)(0531)88375471"
7,社会主义研究,"武昌桂子山3号楼(430079)(027)67868330"
8,中国特色社会主义研究,"北京市朝阳区北四环中路33号(100101)(010)64874539"
9,毛泽东邓小平理论研究,"上海市中山西路1610号1608室(200235)(021)64274736  64862266-2608 ,2611"
10,高校理论战线,"北京市海淀区中关村大街35号7层(100080)(010)62514713"
11,科学社会主义,"北京市海淀区大有庄100号(100091)(010)62805245  62809964"
12,毛泽东思想研究,"四川省成都市一环路西一段155号(610071)(028)87014462"
哲学(12种)
序号,期刊名称,期刊信息
1,哲学研究,"北京市建国门内大街5号(100732)(010)85195528"
2,世界哲学,"北京市建国门内大街5号(100732)(010)85195533"
3,自然辩证法研究,"北京市海淀区学院南路86号(100081)(010)62103265"
4,自然辩证法通讯,"北京市玉泉路19号甲中国科学院研究生院内(100049)(010)88256007"
5,哲学动态,"北京市建国门内大街5号(100732)(010)85195517"
6,中国哲学史,"北京市建国门内大街5号(100732)(010)85195528"
7,科学技术与辩证法,"山西省太原市坞城路36号(030006)(0351)7011922"
8,孔子研究,"山东济南市舜耕路46号(250002)(0531)82732510"
9,道德与文明,"天津市南开区迎水道7号(300191)(022)23075325"
10,现代哲学,"广州市新港西路135号中山大学文科楼806室(510275)(020)84114021  84114924"
12,管子学刊,"山东省淄博市张店区张周路12号(255049)(0533)2781654"
宗教学(4种)
序号,期刊名称,期刊信息
1,世界宗教研究,"北京市建国门内大街5号(100732)(010)65138393"
2,宗教学研究,"成都·四川大学文科楼(610064)(028)85412221"
3,中国宗教,"北京市西城区后海北沿44号院(100009)(010)64095212  64095206"
4,世界宗教文化,"北京市建国门内大街5号(100732)(010)65138393"
语言学(22种)
序号,期刊名称,期刊信息
1,当代语言学,"北京市建国门内大街5号(100732)(010)85195392"
2,外语教学与研究(北京外国语大学学报),"北京市西三环北路2号(100089)(010)88816466"
3,现代外语,"广州市白云大道北2号广东外语外贸大学(510420)(020)36207235"
4,外国语:上海外国语大学学报,"上海市大连西路550号,外国语大学学报编辑部(200083)(021)65420358"
5,中国语文,"北京市建国门内大街5号中国语文杂志社(100732)(010)85195373  65125849"
6,方言,"北京市建国门内大街5号(100732)(010)85195390"
7,语言研究,"武汉市珞瑜路1037号(430074)(027)87543253"
8,外语界,"上海市大连西路558号(200083)(021)55396175  65425300"
9,世界汉语教学,"北京海淀区学院路15号(100083)(010)82303689"
10,语言文字应用,"北京市朝内南小街51号(100010)(010)65130351"
11,语言教学与研究,"北京市海淀区学院路15号(100083)(010)82303575  82303573"
12,中国翻译,"北京市阜外百万庄大街24号(100037)(010)68327209  68995951"
13,外语与外语教学,"大连市中山区延安路94号(116002)(0411)82563258"
14,国外外语教学,"上海市中山北路3663号(200062)(021)62233632"
