,学科,序号,Unnamed: 2,期刊名称 期 刊 信 息,Unnamed: 4,联系电话
0,,1,法学研究,北京市东城区沙滩北街15号(100720),,(010)64035471
1,,2,中国法学,北京市西城区兵马司胡同63号(100034),,(010)66188780
2,,3,中外法学,北京大学法学楼5218室(100871),,(010)62751689
3,,,政法论坛(07年10月后不再有副题,,,
4,,4,,北京市海淀区西土城路25号(100088),,(010)58908281
5,,,名:中国政法大学学报),,,
6,,5,法商研究,武汉市洪山区政院路1号(430073),,(027)88386912
7,,6,法学,上海市万航渡路1575号(200042),,(021)62071924
8,,7,法律科学:西北政法大学学报,西安市长安南路西北政法学院(710063),,(029)85385160
9,,,,,,(0431)85166050
10,,8,法制与社会发展,长春市前进大街2699号(130012),,
11,,,,,,85168640
12,,9,法学评论,湖北武昌珞珈山(430072),,(027)68752955
13,,10,现代法学,重庆市沙坪坝区西南政法大学(400031),,(023)65382256
14,法  学(21种),11,环球法律评论,北京市东城区沙滩北街15号(100720),,(010)64014045
15,,12,比较法研究,北京市海淀区西土城路25号(100088),,(010)58908258
16,,,,,,(010)58515818
17,,13,知识产权,北京海淀区蓟门桥西土城路6号(100088),,
18,,,,,,58515666
19,,,,,,(010)62511292
20,,14,法学家,北京市海淀区中关村大街59号(100872),,
21,,,,,,82509250
22,,,,,,(0531)82923347
23,,15,法学论坛,济南市经十路9号(250014),,
24,,,,,,
25,,,,北京市海淀区长春桥路6号国家行政学院,,
26,,16,行政法学研究,,,(010)68929072
27,,,,(100089),,
28,,,,北京市丰台区成寿寺四方景园1区6号楼,,
29,,17,法学杂志,,,(010)67640120
30,,,,(100078),,
31,,,,,,(010)68630197
32,,18,中国刑事法杂志,北京市石景山区鲁谷西路5号(100040),,
33,,,,,,68630206
34,,,,,,(021)53060606-
35,,19,政治与法律,上海市淮海中路622弄7号(200020),,
36,,,,,,2489
37,,20,当代法学,长春市前进大街2699号(130012),,(0431)5166068
38,,,华东政法大学学报 (原名:华东政法,,,
39,,21,,上海市万航渡路1575号(200042),,(021)62071670
40,,,"学院学报,07年更名)",,,
41,,1,中国人民大学学报,北京市中关村大街59号(100872),,(010)62511499
42,,2,北京大学学报(哲学社会科学版),北京大学学(100871),,(010)62751216
43,,3,北京师范大学学报(社会科学版),北京市新街口外大街19号(100875),,(010)58807848
44,,4,复旦学报(社会科学版),复旦大学(200433),,(021)65642109
45,,5,南京大学学报(哲学·人文科学·社会科南学京)市 汉口路22号(210093),,,(025)3592704
46,,6,南开学报(哲学社会科学版),天津市卫津路94号(300071),,(022)23501681
47,,,,,,(0431)5166970
48,,7,吉林大学社会科学学报,长春市前进大街2699号(130012),,
49,,,,,,
