
序号,期刊名称,主办(管)单位,CN号
1.,公共管理学报,哈尔滨工业大学管理学院,CN23-1523/F
2.,管理工程学报,浙江大学,CN33-1136/N
3.,管理科学,哈尔滨工业大学管理学院,CN23-1510/C
4.,管理科学学报,国家自然科学基金委员会管理科学部,CN12-1275/G3
5.,管理评论,中国科学院研究生院,CN11-5057/F
6.,管理世界,中华人民共和国国务院发展研究中心,CN11-1235/F
7.,管理学报,华中科技大学,CN42-1725/C
8.,华东经济管理,安徽经济管理学院,CN34-1014/F
9.,经济管理,中国社会科学院工业经济研究所,CN11-1047/F
10.,经济体制改革,四川省社会科学院,CN51-1027/F
11.,科技管理研究,广东省科学学与科技管理研究会,CN44-1223/G3
12.,科技进步与对策,湖北省科技信息研究院,CN42-1224/G3
13.,科学管理研究,内蒙古自治区软科学研究会,CN15-1103/G3
14.,科学学研究,中国科学学与科技政策研究会,CN11-1805/G3
15.,科学学与科学技术管理,中国科学学与科技政策研究会等,CN12-1117/G3
16.,科研管理,中国科学院科技政策与管理科学研究所,CN11-1567/G3
17.,南开管理评论,南开大学商学院,CN12-1288/F
18.,软科学,四川省科技促进发展研究中心,CN51-1268/G3
19.,外国经济与管理,上海财经大学,CN31-1063/F
20.,系统工程,湖南省系统工程与管理学会,CN43-1115/N
21.,系统工程理论与实践,中国系统工程学会,CN11-2267/N
22.,系统管理学报,上海交通大学,CN31-1977/N
23.,研究与发展管理,复旦大学,CN31-1599/G3
24.,预测,合肥工业大学预测与发展研究所,CN34-1013/N
25.,中国管理科学,中国优选法统筹法与经济数学研究会,CN11-2835/G3
26.,中国行政管理,中国行政管理学会,CN11-1145/D
27.,中国科技论坛,中国科学技术发展战略研究院,CN11-1344/G3
28.,中国科学基金,国家自然科学基金委员会,CN11-1730/N
29.,中国软科学,中国软科学研究会,CN11-3036/G3
序号,期刊名称,主办(管)单位,CN号
1.,当代世界社会主义问题,山东大学当代社会主义研究所,CN37-1065/D
2.,当代世界与社会主义,中共中央编译局马克思主义研究部等,CN11-3404/D
3.,党史研究与教学,中共福建省委党校、福建省中共党史学会,CN35-1059/A
4.,国外理论动态,中共中央编译局、世界发展战略研究部,CN11-4507/D
5.,红旗文稿,求是杂志社,CN11-4904/D
6.,教学与研究,中国人民大学,CN11-1454/G4
7.,科学社会主义,中国科学社会主义学会,CN11-2797/D
8.,理论视野,中国马克思主义研究基金会,CN11-3953/A
9.,马克思主义研究,马克思主义研究院、马克思主义研究学部,CN11-3591/A
10.,马克思主义与现实,中共中央编译局当代马克思主义研究所,CN11-3040/A
11.,毛泽东邓小平理论研究,上海社会科学院等,CN31-1672/A
12.,求是,中国共产党中央委员会,CN11-1000/D
13.,社会主义研究,华中师范大学,CN42-1093/D
14.,思想理论教育导刊,高等教育出版社,CN11-4062/G4
15.,中共党史研究,中共党史研究室,CN11-1675/D
16.,中国特色社会主义研究,北京市社会科学界联合会等,CN11-3527/D
序号,期刊名称,主办(管)单位,CN号
1.,道德与文明,中国伦理学会、天津社会科学院,CN12-1029/B
2.,科学技术哲学研究,山西大学、山西省自然辩证法研究会,CN14-1354/G3
3.,孔子研究,中国孔子基金会,CN37-1037/C
4.,伦理学研究,湖南师范大学伦理学研究所,CN43-1385/C
5.,世界哲学,中国社会科学院哲学所,CN11-4748/B
6.,现代哲学,广东哲学学会,CN44-1071/B
7.,哲学动态,中国社会科学院哲学研究所,CN11-1141/B
8.,哲学研究,中国社会科学院哲学研究所,CN11-1140/B
9.,中国哲学史,中国哲学史学会,CN11-3042/B
10.,周易研究,山东大学、中国周易学会,CN37-1191/C
11.,自然辩证法通讯,中国科学院研究生院,CN11-1518/N
12.,自然辩证法研究,中国自然辩证法研究会,CN11-1649/B
序号,期刊名称,主办(管)单位,CN号
1.,世界宗教文化,中国社会科学院世界宗教研究所,CN11-3631/B
2.,世界宗教研究,中国社会科学院世界宗教研究所,CN11-1299/B
3.,宗教学研究,四川大学道教与宗教文化研究所,CN51-1069/B
序号,期刊名称,主办(管)单位,CN号
1.,当代修辞学,复旦大学,CN31-2043/H
2.,当代语言学,中国社会科学院语言研究所,CN11-3879/H
3.,方言,中国社会科学院语言研究所,CN11-1052/H
4.,汉语学报,华中师范大学,CN42-1729/H
5.,民族语文,中国社会科学院民族学与人类学研究所,CN11-1216/H
6.,世界汉语教学,北京语言大学,CN11-1473/H
7.,外国语,上海外国语大学,CN31-1038/H
8.,外语电化教学,上海外国语大学,CN31-1036/G4
9.,外语教学,西安外国语大学,CN61-1023/H
10.,外语教学理论与实践,华东师范大学外语学院,CN31-1964/H
11.,外语教学与研究,北京外国语大学,CN11-1251/G4
12.,外语界,上海外国语大学,CN31-1040/H
13.,外语学刊,黑龙江大学,CN23-1071/H
14.,外语与外语教学,大连外国语大学,CN21-1060/H
15.,现代外语,广东外语外贸大学,CN44-1165/H
