,url,title
0,110755.htm,北京大学2020年度学生宿舍空调维保服务项目 中标公告
1,https://portal.pku.edu.cn/portal2017/#/deptNoticeDetail/373520,教师公寓申请入住名单公示
2,https://portal.pku.edu.cn/portal2017/#/deptNoticeDetail/373305,餐饮中心2020年寒假餐饮服务保障安排
3,110461.htm,公寓服务中心2020年寒假值班表 
4,110189.htm,北京大学学生公寓中控室管理服务项目成交公告
5,110107.htm,北京大学2020年度学生宿舍空调维保服务项目公开招标公告
6,https://portal.pku.edu.cn/portal2017/#/deptNoticeDetail/372407,教师公寓申请入住名单公示
7,109156.htm,北京大学学生公寓中控室管理服务项目竞争性磋商
8,109155.htm,北京大学学生公寓中控室管理服务项目废标公告
9,109154.htm,北京大学2020年学生公寓保洁服务项目  中标公告
10,https://portal.pku.edu.cn/portal2017/#/deptNoticeDetail/371919,2020年春运集中办理学生往程票工作通知
11,108305.htm,北京大学学生公寓中控室管理服务项目  公开招标公告
12,108304.htm,北京大学2020年学生公寓保洁服务项目  公开招标公告
13,108291.htm,教师公寓申请入住名单公示
14,https://portal.pku.edu.cn/portal2017/#/deptNoticeDetail/357239,紧急停水通知
15,https://portal.pku.edu.cn/portal2017/#/deptNoticeDetail/345161,健康大讲堂系列讲座：呼吸系统疾病的中医防治
16,https://portal.pku.edu.cn/portal2017/#/deptNoticeDetail/345096,"图书馆""不忘初心 牢记使命：纪念李大钊先生诞辰130周年文献展”展览通知"
17,https://portal.pku.edu.cn/portal2017/#/deptNoticeDetail/345075,2019-2020学年秋季学期研究生课程中期退课通知
18,https://portal.pku.edu.cn/portal2017/#/deptNoticeDetail/345069,预计2020年1月、7月毕业研究生图像采集通知
19,https://portal.pku.edu.cn/portal2017/#/deptNoticeDetail/345059,关于2020届本科毕业生图像采集的通知
20,https://portal.pku.edu.cn/portal2017/#/deptNoticeDetail/345058,关于2019年校本部新生学生公交卡办理的通知
21,https://portal.pku.edu.cn/portal2017/#/deptNoticeDetail/345033,教师公寓申请入住名单公示
22,https://portal.pku.edu.cn/portal2017/#/deptNoticeDetail/345011,2019年度北京大学招聘公告（五）
23,https://portal.pku.edu.cn/portal2017/#/deptNoticeDetail/344963,关于开展2018-2019学年北京大学“示范学生宿舍”评选工作的通知
24,101017.htm,公寓服务中心2019年中秋节、国庆节值班表
25,99697.htm,毕业生离校安全提示
26,99507.htm,2019年应届毕业新来校教职工教师公寓申请及入住须知
27,99558.htm,2019年北京大学公寓服务中心暑假值班表
28,99478.htm,2019年暑期毕业总务系统工作安排
29,97853.htm,关于教师公寓选房有关事项的通知（第二批次）
