,url,title,date
0,1320908.htm,房地产管理部2020年寒假值班表, 2019-12-31
1,1320905.htm,2019年12月已购公有住房上市出售信息公示, 2019-12-31
2,1320542.htm,北京大学图书馆东楼家具招标采购项目结果公示, 2019-12-23
3,1319934.htm,2019年12月教职工住房补贴申请资格公示名单, 2019-12-16
4,1318524.htm,2019年11月已购公有住房上市出售信息公示, 2019-11-29
5,1315686.htm,2019年11月教职工住房补贴申请资格公示名单, 2019-11-14
6,1314982.htm,2019年10月已购公有住房上市出售信息公示, 2019-10-31
7,1314247.htm,2019年10月教职工住房补贴申请资格公示名单, 2019-10-14
8,1314170.htm,北京大学医学部跃进厅咖啡厅承租项目（三次）废标公告, 2019-10-11
9,1313819.htm,2019年9月已购公有住房上市出售信息公示, 2019-09-27
10,1313350.htm,2019年国庆期间房地产管理部值班表, 2019-09-17
11,1313344.htm,2019年9月教职工住房补贴申请资格公示名单, 2019-09-17
12,1313055.htm,北京大学医学部跃进厅咖啡厅承租项目（三次）公开招标公告, 2019-09-09
13,1312950.htm,2019年8月已购公有住房上市出售信息公示, 2019-09-05
14,1312208.htm,2019年7月已购公有住房上市出售信息公示, 2019-07-31
15,1311740.htm,北京大学勺园5甲自动贩卖机招商租赁项目招标结果公告, 2019-07-11
16,1311738.htm,北京大学校内29号楼师生配套生活服务招商租赁项目评标结果公告, 2019-07-11
17,1311739.htm,北京大学新太阳学生中心地下二层超市招商租赁项目评标结果公告, 2019-07-11
18,1311737.htm,北京大学畅春新园打印店招商租赁项目评标结果公告, 2019-07-11
19,1311736.htm,北京大学36号楼102室洗衣房招商租赁项目评标结果公告, 2019-07-11
20,1311398.htm,房地产管理部2019年暑假值班表…, 2019-06-28
21,1311392.htm,2019年6月已购公有住房上市出售信息公示, 2019-06-28
22,1311112.htm,北京大学畅春新园打印店招商租赁项目招标公告, 2019-06-21
23,1311108.htm,北京大学新太阳学生中心地下二层超市招商租赁项目, 2019-06-21
24,1311107.htm,北京大学校内29号楼师生配套生活服务招商租赁项目, 2019-06-21
25,1311105.htm,北京大学勺园5甲自动贩卖机招商租赁项目招标公告, 2019-06-21
26,1311102.htm,北京大学36号楼102室洗衣房招商租赁项目招标公告, 2019-06-21
27,1310468.htm,2019年6月教职工住房补贴申请资格公示名单, 2019-06-14
28,1305909.htm,2019年5月已购公有住房上市出售信息公示, 2019-05-31
29,1305715.htm,房地产管理部招聘1名劳动合同制行政人员, 2019-05-29
30,1304340.htm,2019年5月教职工住房补贴申请资格公示名单, 2019-05-16
31,1303592.htm,2019年4月已购公有住房上市出售信息公示, 2019-05-07
32,1302740.htm,2019年劳动节放假值班表, 2019-04-23
33,1301276.htm,2019年4月教职工住房补贴申请资格公示名单, 2019-04-16
34,1300548.htm,2019年3月已购公有住房上市出售信息公示…, 2019-04-01
35,1299886.htm,2019年3月教职工住房补贴申请资格公示名单, 2019-03-18
36,1299201.htm,2019年2月已购公有住房上市出售信息公示, 2019-03-01
37,1299200.htm,2019年1月已购公有住房上市出售信息公示, 2019-01-31
38,1299199.htm,北京大学45甲地下生活服务区美发美甲招商租赁项目评标结果公告, 2019-01-14
39,1299198.htm,北京大学校内快递服务中心招商租赁项目评标结果公告, 2019-01-14
40,1299197.htm,北京大学45甲地上生活服务区洗衣房招商租赁项目评标结果公告, 2019-01-14
41,1299195.htm,北京大学29楼生活服务区杂货店招商租赁项目评标结果公告, 2019-01-14
42,1299196.htm,北京大学43号楼、生命科学楼、财务部大楼四处自助式咖啡机招商租赁…, 2019-01-14
43,1299194.htm,房地产管理部2019年寒假带值班计划, 2019-01-10
44,1299193.htm,2018年12月已购公有住房上市出售信息公示, 2018-12-31
45,1299192.htm,2018年12月教职工住房补贴申请资格公示名单, 2018-12-19
46,1299191.htm,北京大学校内快递服务中心招商租赁项目招标公告, 2018-12-18
47,1299189.htm,北京大学45甲地下生活服务区美发美甲招商租赁项目招标公告, 2018-12-18
48,1299190.htm,北京大学43号楼、生命科学楼、财务部、王克贞楼311会议室门口四处自…, 2018-12-18
49,1299188.htm,北京大学45甲地上生活服务区洗衣房招商租赁项目招标公告, 2018-12-18
50,1299187.htm,北京大学29楼生活服务区杂货店招商租赁项目公开招标公告, 2018-12-18
51,1299186.htm,2018年11月已购公有住房上市出售信息公示, 2018-11-30
52,1299185.htm,2018年11月教职工住房补贴申请资格公示名单, 2018-11-16
53,1299184.htm,2018年10月已购公有住房上市出售信息公示, 2018-10-31
54,1293973.htm,2018年10月教职工住房补贴申请资格公示名单, 2018-10-15
55,1299182.htm,2018年9月已购公有住房上市出售信息公示, 2018-09-28
56,1293972.htm,2018年9月已购公有住房上市出售信息公示, 2018-09-28
57,1293971.htm,2018年9月教职工住房补贴申请资格公示名单, 2018-09-17
58,1293970.htm,2018年8月已购公有住房上市出售信息公示, 2018-09-04
59,1293969.htm,2018年7月已购公有住房上市出售信息公示, 2018-07-31
60,1293967.htm,北京大学29楼生活服务区西式快餐店及文具店招商租赁项目评标结果…, 2018-07-10
61,1293968.htm,北京大学45甲地下生活服务区餐饮、图文、商品零售店招商租赁项目评…, 2018-07-10
62,1293966.htm,房地产管理部2018年暑假带值班计划, 2018-07-09
63,1293965.htm,2018年6月已购公有住房上市出售信息公示, 2018-07-02
64,1293964.htm,北京大学45甲地下生活服务区餐饮、图文、商品零售店招商租赁项目招…, 2018-06-22
65,1293313.htm,2018年1月已购公有住房上市出售信息公示, 2018-02-02
66,1293312.htm,房地产管理部2018年寒假带值班计划, 2018-01-02
67,1293311.htm,2017年12月已购公有住房上市出售信息公示, 2018-01-02
68,1293310.htm,2017年12月教职工住房补贴申请资格公示名单, 2017-12-20
69,2594.htm,北京大学燕东园生活超市招商租赁项目（二次）评标结果公告, 2017-12-06
70,2590.htm,2017年11月已购公有住房上市出售信息公示, 2017-12-05
71,2589.htm,2017年11月教职工住房补贴申请资格公示名单, 2017-11-21
72,2588.htm,房地产管理部招聘劳动合同制职工, 2017-11-10
73,2587.htm,北京大学燕东园生活超市招商租赁项目（二次）公开招标公告, 2017-11-07
74,2586.htm,2017年10月已购公有住房上市出售信息公示, 2017-11-01
75,2581.htm,北京大学燕东园生活超市招商租赁项目评标结果公告, 2017-10-26
76,2582.htm,北京大学校内45甲地下师生配套生活服务招商租赁项目(二次）六、八、…, 2017-10-26
77,2583.htm,北京大学校内45甲地下师生配套生活服务招商租赁项目(二次）第七包…, 2017-10-26
