,date,title,url
0,2020-01-20,关于加强依托单位管理做好2020年度国家自然科学基金资助管理工作的通知,/publish/portal0/tab442/info77349.htm
2,2019-12-11,国家自然科学基金委员会 科学技术部 财政部关于在国家杰出青年科学基金中试点项目经费使用“包干制”的通知,/publish/portal0/tab442/info76718.htm
4,2019-12-12,关于国家杰出青年科学基金经费使用“包干制”制度备案的通知,/publish/portal0/tab442/info76843.htm
6,2019-01-15,国家自然科学基金委员会关于各方严肃履行承诺营造风清气正评审环境的公开信,/publish/portal0/tab442/info75018.htm
8,2019-12-26,关于2020年度国家自然科学基金项目申请与结题等有关事项的通告,/publish/portal0/tab442/info77091.htm
10,2020-01-22,“新型冠状病毒（2019-nCoV）溯源、致病及防治的基础研究”专项项目指南,/publish/portal0/tab442/info77363.htm
12,2020-01-21,国家自然科学基金委员会中德科学中心中德双边研讨会会后青年学者学术访问项目指南,/publish/portal0/tab442/info77355.htm
14,2020-01-20,国家自然科学基金委员会地球科学部关于2020年度第1期专项项目（科技活动项目）申请的通知,/publish/portal0/tab442/info77303.htm
16,2020-01-20,关于征集2020年度地球科学领域重大项目立项领域建议的通告,/publish/portal0/tab442/info77302.htm
18,2020-01-19,工程与材料科学部学科布局优化及基金申请代码调整,/publish/portal0/tab442/info77316.htm
20,2020-01-17,关于2020年度国家自然科学基金委员会与美国国家科学基金会“食品、能源、水”系统关联合作研究项目指南的补充说明,/publish/portal0/tab442/info77300.htm
22,2020-01-15,Research Fund for International Young Scientists Call for Proposals FY 2020,/publish/portal0/tab442/info77296.htm
24,2020-01-14,关于2020年度国家自然科学基金委员会与韩国国家研究基金会合作与交流项目受理时间延长的通知,/publish/portal0/tab442/info77292.htm
26,2020-01-14,关于国际(地区)合作研究项目限项的紧急通知,/publish/portal0/tab442/info77290.htm
28,2019-12-31,国家自然科学基金委员会2019年第四季度政府网站和政务新媒体自查报告,/publish/portal0/tab442/info77113.htm
30,2019-12-23,2020年度国家自然科学基金原创探索计划项目申请指南,/publish/portal0/tab442/info77011.htm
32,2019-12-18,2020年度国家自然科学基金委员会与澳门科学技术发展基金联合科研资助基金项目指南,/publish/portal0/tab442/info76982.htm
34,2019-12-18,2020年度国家自然科学基金委员会与香港研究资助局联合科研资助基金项目指南,/publish/portal0/tab442/info76983.htm
36,2019-12-17,2020年度国家自然科学基金委员会与韩国国家研究基金会合作与交流项目征集指南,/publish/portal0/tab442/info76970.htm
38,2019-12-11,2020年度国家自然科学基金委员会与美国国家科学基金会生物多样性合作研究项目指南,/publish/portal0/tab442/info76720.htm
40,2019-12-03,2020年度国家自然科学基金委员会与以色列科学基金会合作研究项目指南,/publish/portal0/tab442/info76619.htm
42,2019-12-03,2020年度国家自然科学基金委员会与德国研究联合会合作研究项目指南,/publish/portal0/tab442/info76677.htm
44,2019-12-02,关于征集参加“2020年度国际理论物理中心（ICTP）学术活动项目”的通知,/publish/portal0/tab442/info76671.htm
46,2019-11-26,关于公布2019年国家自然科学基金依托单位注册审批结果的通告,/publish/portal0/tab442/info76655.htm
48,2019-11-22,2020年度国家自然科学基金委员会与美国国家科学基金会“食品、能源、水”系统关联合作研究项目指南,/publish/portal0/tab442/info76653.htm
50,2019-11-21,数学物理科学部关于征集2020年度重大项目立项建议的通告,/publish/portal0/tab442/info76646.htm
52,2019-11-18,2020年度中日韩前瞻计划项目指南,/publish/portal0/tab442/info76617.htm
54,2019-11-15,国家自然科学基金委员会关于开展提高间接费用比例试点工作的通知,/publish/portal0/tab442/info76614.htm
56,2019-11-15,国家自然科学基金委员会关于收回2016年度结题项目结余资金的通知,/publish/portal0/tab442/info76615.htm
58,2019-10-30,信息科学部 “移动通信安全基础理论与关键技术”专项项目指南,/publish/portal0/tab442/info76539.htm
60,2019-10-24,2019年度专项项目极地基础科学前沿项目指南,/publish/portal0/tab442/info76520.htm
62,2019-10-24,2019年度专项项目川藏铁路重大基础科学问题项目指南,/publish/portal0/tab442/info76521.htm
64,2019-10-11,2020年度国家自然科学基金委员会与英国皇家学会、英国医学科学院人才项目指南,/publish/portal0/tab442/info76451.htm
66,2019-10-08,《2020年度国家自然科学基金项目指南》征订通知,/publish/portal0/tab442/info76445.htm
68,2019-09-29,关于发布第二批非洲猪瘟关键基础科学问题研究专项项目指南的通知,/publish/portal0/tab442/info76371.htm
70,2019-09-25,国家自然科学基金委员会2019年第三季度政府网站和政务新媒体自查报告,/publish/portal0/tab442/info76357.htm
72,2019-09-23,2019年度国家自然科学基金委员会与欧洲核子研究中心合作研究项目征集指南,/publish/portal0/tab442/info76353.htm
